PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32554380","Effectiveness of an 8-Week Web-Based Mindfulness Virtual Community Intervention for University Students on Symptoms of Stress, Anxiety, and Depression: Randomized Controlled Trial","El Morr C, Ritvo P, Ahmad F, Moineddin R; MVC Team.","JMIR Ment Health. 2020 Jul 17;7(7):e18595. doi: 10.2196/18595.","El Morr C","JMIR Ment Health","2020","2020/06/20","PMC7395254","","10.2196/18595"
"25686304","Mindfulness meditation and improvement in sleep quality and daytime impairment among older adults with sleep disturbances: a randomized clinical trial","Black DS, O'Reilly GA, Olmstead R, Breen EC, Irwin MR.","JAMA Intern Med. 2015 Apr;175(4):494-501. doi: 10.1001/jamainternmed.2014.8081.","Black DS","JAMA Intern Med","2015","2015/02/17","PMC4407465","NIHMS680970","10.1001/jamainternmed.2014.8081"
"30552050","Providing mindfulness meditation for patients with depression and anxiety in a community pharmacy: A pilot study","Perepelkin J, Antunes K, Boechler L, Remillard AJ, Mildenberger L.","J Am Pharm Assoc (2003). 2019 Mar-Apr;59(2):258-264. doi: 10.1016/j.japh.2018.10.017. Epub 2018 Dec 11.","Perepelkin J","J Am Pharm Assoc (2003)","2019","2018/12/16","","","10.1016/j.japh.2018.10.017"
"31296508","Efficacy of mindfulness-based intervention ('mindfulness-based joyful sleep') in young and middle-aged individuals with insomnia using a biomarker of inflammatory responses: a prospective protocol of a randomised controlled trial in China","Pan C, Wang X, Deng Y, Li P, Liao Y, Ma X, Yang GP, Dai L, Tang Q.","BMJ Open. 2019 Jul 10;9(7):e027061. doi: 10.1136/bmjopen-2018-027061.","Pan C","BMJ Open","2019","2019/07/13","PMC6624060","","10.1136/bmjopen-2018-027061"
"29939051","Brief mindfulness training for negative affectivity: A systematic review and meta-analysis","Schumer MC, Lindsay EK, Creswell JD.","J Consult Clin Psychol. 2018 Jul;86(7):569-583. doi: 10.1037/ccp0000324.","Schumer MC","J Consult Clin Psychol","2018","2018/06/26","PMC6441958","NIHMS1013160","10.1037/ccp0000324"
"31633035","Impact of Mindfulness-Based Eating Awareness on Diet and Exercise Habits in Adolescents","Barnes VA, Kristeller JL.","Int J Complement Altern Med. 2016;3(2):70. doi: 10.15406/ijcam.2016.03.00070. Epub 2016 Feb 22.","Barnes VA","Int J Complement Altern Med","2016","2019/10/22","PMC6800660","NIHMS794788","10.15406/ijcam.2016.03.00070"
"23855018","Comparison of a mindful eating intervention to a diabetes self-management intervention among adults with type 2 diabetes: a randomized controlled trial","Miller CK, Kristeller JL, Headings A, Nagaraja H.","Health Educ Behav. 2014 Apr;41(2):145-54. doi: 10.1177/1090198113493092. Epub 2013 Jul 12.","Miller CK","Health Educ Behav","2014","2013/07/16","PMC4217158","NIHMS637891","10.1177/1090198113493092"
"32807249","Prevalence of harm in mindfulness-based stress reduction","Hirshberg MJ, Goldberg SB, Rosenkranz M, Davidson RJ.","Psychol Med. 2020 Aug 18:1-9. doi: 10.1017/S0033291720002834. Online ahead of print.","Hirshberg MJ","Psychol Med","2020","2020/08/19","","","10.1017/S0033291720002834"
"32944276","Online prenatal trial in mindfulness sleep management (OPTIMISM): protocol for a pilot randomized controlled trial","Kantrowitz-Gordon I, McCurry SM, Landis CA, Lee R, Wi D.","Pilot Feasibility Stud. 2020 Sep 14;6:128. doi: 10.1186/s40814-020-00675-1. eCollection 2020.","Kantrowitz-Gordon I","Pilot Feasibility Stud","2020","2020/09/18","PMC7488736","","10.1186/s40814-020-00675-1"
"33118443","A Prospective Pilot Study Evaluating Feasibility and Preliminary Effects of Breathe Easier: A Mindfulness-based Intervention for Survivors of Lung Cancer and Their Family Members (Dyads)","McDonnell KK, Gallerani DG, Newsome BR, Owens OL, Beer J, Myren-Bennett AR, Regan E, Hardin JW, Webb LA.","Integr Cancer Ther. 2020 Jan-Dec;19:1534735420969829. doi: 10.1177/1534735420969829.","McDonnell KK","Integr Cancer Ther","2020","2020/10/29","PMC7604980","","10.1177/1534735420969829"
"24176784","2013 SYR Accepted Poster Abstracts","","Int J Yoga Therap. 2013;23 Suppl:32-53.","","Int J Yoga Therap","2013","2013/11/02","","",""
"29267686","[Contributions and challenges associated with bodily practices and meditation for health promotion in the public primary care system in the city of São Paulo, Brazil]","Galvanese ATC, Barros NF, d'Oliveira AFPL.","Cad Saude Publica. 2017 Dec 18;33(12):e00122016. doi: 10.1590/0102-311X00122016.","Galvanese ATC","Cad Saude Publica","2017","2017/12/22","","","10.1590/0102-311X00122016"
"24715363","Body awareness and mindfulness: validation of the Spanish version of the Scale of Body Connection","del C Quezada-Berumen L, González-Ramírez MT, Cebolla A, Soler J, Garcia-Campayo J.","Actas Esp Psiquiatr. 2014 Mar-Apr;42(2):57-67. Epub 2014 Mar 1.","del C Quezada-Berumen L","Actas Esp Psiquiatr","2014","2014/04/10","","",""
"28038370","Mindfulness practice as a teaching-learning strategy in higher education: A qualitative exploratory pilot study","Schwind JK, McCay E, Beanlands H, Schindel Martin L, Martin J, Binder M.","Nurse Educ Today. 2017 Mar;50:92-96. doi: 10.1016/j.nedt.2016.12.017. Epub 2016 Dec 22.","Schwind JK","Nurse Educ Today","2017","2016/12/31","","","10.1016/j.nedt.2016.12.017"
"29228806","A Pilot Online Mindfulness Intervention to Decrease Caregiver Burden and Improve Psychological Well-Being","Tkatch R, Bazarko D, Musich S, Wu L, MacLeod S, Keown K, Hawkins K, Wicker E.","J Evid Based Complementary Altern Med. 2017 Oct;22(4):736-743. doi: 10.1177/2156587217737204. Epub 2017 Nov 3.","Tkatch R","J Evid Based Complementary Altern Med","2017","2017/12/13","PMC5871316","","10.1177/2156587217737204"
"28488881","Mindfulness-Based Relapse Prevention for Methadone Maintenance: A Feasibility Trial","Bowen S, Somohano VC, Rutkie RE, Manuel JA, Rehder KL.","J Altern Complement Med. 2017 Jul;23(7):541-544. doi: 10.1089/acm.2016.0417. Epub 2017 May 10.","Bowen S","J Altern Complement Med","2017","2017/05/11","","","10.1089/acm.2016.0417"
"32769074","Natural Language Processing Tools for Assessing Progress and Outcome of Two Veteran Populations: Cohort Study From a Novel Online Intervention for Posttraumatic Growth","Norman KP, Govindjee A, Norman SR, Godoy M, Cerrone KL, Kieschnick DW, Kassler W.","JMIR Form Res. 2020 Sep 23;4(9):e17424. doi: 10.2196/17424.","Norman KP","JMIR Form Res","2020","2020/08/10","PMC7542412","","10.2196/17424"
"25219804","Mental and Physical (MAP) Training: a neurogenesis-inspired intervention that enhances health in humans","Shors TJ, Olson RL, Bates ME, Selby EA, Alderman BL.","Neurobiol Learn Mem. 2014 Nov;115:3-9. doi: 10.1016/j.nlm.2014.08.012. Epub 2014 Sep 9.","Shors TJ","Neurobiol Learn Mem","2014","2014/09/16","PMC4535923","NIHMS711264","10.1016/j.nlm.2014.08.012"
"20882729","Mindfulness-based stress reduction for solid organ transplant recipients: a randomized controlled trial","Gross CR, Kreitzer MJ, Thomas W, Reilly-Spong M, Cramer-Bornemann M, Nyman JA, Frazier P, Ibrahim HN.","Altern Ther Health Med. 2010 Sep-Oct;16(5):30-8.","Gross CR","Altern Ther Health Med","2010","2010/10/02","PMC3076132","NIHMS271332",""
"24325752","Effectiveness of a Mindfulness-Based Childbirth Education pilot study on maternal self-efficacy and fear of childbirth","Byrne J, Hauck Y, Fisher C, Bayes S, Schutze R.","J Midwifery Womens Health. 2014 Mar-Apr;59(2):192-7. doi: 10.1111/jmwh.12075. Epub 2013 Dec 10.","Byrne J","J Midwifery Womens Health","2014","2013/12/12","","","10.1111/jmwh.12075"
"30268806","Efficacy of Internet-Delivered Mindfulness for Improving Depression in Caregivers of People With Spinal Cord Injuries and Chronic Neuropathic Pain: A Randomized Controlled Feasibility Trial","Hearn JH, Cotter I, Finlay KA.","Arch Phys Med Rehabil. 2019 Jan;100(1):17-25. doi: 10.1016/j.apmr.2018.08.182. Epub 2018 Sep 27.","Hearn JH","Arch Phys Med Rehabil","2019","2018/10/01","","","10.1016/j.apmr.2018.08.182"
"15154154","Mindfulness meditation to reduce symptoms after organ transplant: a pilot study","Gross CR, Kreitzer MJ, Russas V, Treesak C, Frazier PA, Hertz MI.","Altern Ther Health Med. 2004 May-Jun;10(3):58-66.","Gross CR","Altern Ther Health Med","2004","2004/05/25","","",""
"15356953","Mindfulness meditation to reduce symptoms after organ transplant: a pilot study","Gross CR, Kreitzer MJ, Russas V, Treesak C, Frazier PA, Hertz MI.","Adv Mind Body Med. 2004 Summer;20(2):20-9.","Gross CR","Adv Mind Body Med","2004","2004/09/11","","",""
"27445632","Finding Ways to Lift Barriers to Care for Chronic Pain Patients: Outcomes of Using Internet-Based Self-Management Activities to Reduce Pain and Improve Quality of Life","Rod K.","Pain Res Manag. 2016;2016:8714785. doi: 10.1155/2016/8714785. Epub 2016 Mar 1.","Rod K","Pain Res Manag","2016","2016/07/23","PMC4904615","","10.1155/2016/8714785"
"27608621","The effects of a mindfulness-based lifestyle program for adults with Parkinson's disease: a mixed methods, wait list controlled randomised control study","Advocat J, Enticott J, Vandenberg B, Hassed C, Hester J, Russell G.","BMC Neurol. 2016 Sep 8;16(1):166. doi: 10.1186/s12883-016-0685-1.","Advocat J","BMC Neurol","2016","2016/09/10","PMC5016929","","10.1186/s12883-016-0685-1"
"22398342","Transforming trauma: a qualitative feasibility study of integrative restoration (iRest) yoga Nidra on combat-related post-traumatic stress disorder","Stankovic L.","Int J Yoga Therap. 2011;(21):23-37.","Stankovic L","Int J Yoga Therap","2011","2012/03/09","","",""
"25645134","Accepted scientific research works (abstracts)","","Int J Yoga Therap. 2014;24:18-38.","","Int J Yoga Therap","2014","2015/02/04","","",""
