PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"23541163","Randomized controlled trial of mindfulness meditation for generalized anxiety disorder: effects on anxiety and stress reactivity","Hoge EA, Bui E, Marques L, Metcalf CA, Morris LK, Robinaugh DJ, Worthington JJ, Pollack MH, Simon NM.","J Clin Psychiatry. 2013 Aug;74(8):786-92. doi: 10.4088/JCP.12m08083.","Hoge EA","J Clin Psychiatry","2013","2013/04/02","PMC3772979","NIHMS477969","10.4088/JCP.12m08083"
"24395196","Meditation programs for psychological stress and well-being: a systematic review and meta-analysis","Goyal M, Singh S, Sibinga EM, Gould NF, Rowland-Seymour A, Sharma R, Berger Z, Sleicher D, Maron DD, Shihab HM, Ranasinghe PD, Linn S, Saha S, Bass EB, Haythornthwaite JA.","JAMA Intern Med. 2014 Mar;174(3):357-68. doi: 10.1001/jamainternmed.2013.13018.","Goyal M","JAMA Intern Med","2014","2014/01/08","PMC4142584","NIHMS582775","10.1001/jamainternmed.2013.13018"
"26111942","Physical activity, mindfulness meditation, or heart rate variability biofeedback for stress reduction: a randomized controlled trial","van der Zwan JE, de Vente W, Huizink AC, Bögels SM, de Bruin EI.","Appl Psychophysiol Biofeedback. 2015 Dec;40(4):257-68. doi: 10.1007/s10484-015-9293-x.","van der Zwan JE","Appl Psychophysiol Biofeedback","2015","2015/06/27","PMC4648965","","10.1007/s10484-015-9293-x"
"31567462","Integrative Medicine Therapies for Pain Management in Cancer Patients","Deng G.","Cancer J. 2019 Sep/Oct;25(5):343-348. doi: 10.1097/PPO.0000000000000399.","Deng G","Cancer J","2019","2019/10/01","PMC6777858","NIHMS1536165","10.1097/PPO.0000000000000399"
"29025788","Brief Mindfulness Meditation for Depression and Anxiety Symptoms in Patients Undergoing Hemodialysis: A Pilot Feasibility Study","Thomas Z, Novak M, Platas SGT, Gautier M, Holgin AP, Fox R, Segal M, Looper KJ, Lipman M, Selchen S, Mucsi I, Herrmann N, Rej S.","Clin J Am Soc Nephrol. 2017 Dec 7;12(12):2008-2015. doi: 10.2215/CJN.03900417. Epub 2017 Oct 12.","Thomas Z","Clin J Am Soc Nephrol","2017","2017/10/14","PMC5718270","","10.2215/CJN.03900417"
"28961631","Does mindfulness meditation improve chronic pain? A systematic review","Ball EF, Nur Shafina Muhammad Sharizan E, Franklin G, Rogozińska E.","Curr Opin Obstet Gynecol. 2017 Dec;29(6):359-366. doi: 10.1097/GCO.0000000000000417.","Ball EF","Curr Opin Obstet Gynecol","2017","2017/09/30","","","10.1097/GCO.0000000000000417"
"25686304","Mindfulness meditation and improvement in sleep quality and daytime impairment among older adults with sleep disturbances: a randomized clinical trial","Black DS, O'Reilly GA, Olmstead R, Breen EC, Irwin MR.","JAMA Intern Med. 2015 Apr;175(4):494-501. doi: 10.1001/jamainternmed.2014.8081.","Black DS","JAMA Intern Med","2015","2015/02/17","PMC4407465","NIHMS680970","10.1001/jamainternmed.2014.8081"
"27612338","The Emerging Role of Mindfulness Meditation as Effective Self-Management Strategy, Part 1: Clinical Implications for Depression, Post-Traumatic Stress Disorder, and Anxiety","Khusid MA, Vythilingam M.","Mil Med. 2016 Sep;181(9):961-8. doi: 10.7205/MILMED-D-14-00677.","Khusid MA","Mil Med","2016","2016/09/10","","","10.7205/MILMED-D-14-00677"
"28314552","Effects of mindfulness meditation on occupational functioning and health care utilization in individuals with anxiety","Hoge EA, Guidos BM, Mete M, Bui E, Pollack MH, Simon NM, Dutton MA.","J Psychosom Res. 2017 Apr;95:7-11. doi: 10.1016/j.jpsychores.2017.01.011. Epub 2017 Jan 23.","Hoge EA","J Psychosom Res","2017","2017/03/19","","","10.1016/j.jpsychores.2017.01.011"
"30425326","Benefits of mindfulness meditation in reducing blood pressure and stress in patients with arterial hypertension","Ponte Márquez PH, Feliu-Soler A, Solé-Villa MJ, Matas-Pericas L, Filella-Agullo D, Ruiz-Herrerias M, Soler-Ribaudi J, Roca-Cusachs Coll A, Arroyo-Díaz JA.","J Hum Hypertens. 2019 Mar;33(3):237-247. doi: 10.1038/s41371-018-0130-6. Epub 2018 Nov 13.","Ponte Márquez PH","J Hum Hypertens","2019","2018/11/15","","","10.1038/s41371-018-0130-6"
