"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ESMN8L6X","book","2011","McLaughlin, Brett","What Is HTML5?","","978-1-4493-1449-1","","","","HTML5: Everyone’s using it, nobody knows what it is. I realize that sounds more like a line out of an existential movie — maybe Waiting for Godot or a screenplay by Sartre — than a statement about HTML5. But it’s really the truth: most of the people using HTML5 are treating it as HTML4+, or even worse, HTML4 (and some stuff they don’t use). The result? A real delay in the paradigm shift that HTML5 is almost certain to bring. It’s certainly not time to look away, because by the time you look back, you may have missed something really important: a subtle but important transition centered around HTML5.","2011-07-13","2016-09-30 20:27:08","2016-10-03 02:48:35","","","29","","","","","","","","","","""O'Reilly Media, Inc.""","","en","","","","","Google Books","","00005  Google-Books-ID: mGx1MyjwM8AC","","","https://play.google.com/books?id=mGx1MyjwM8AC","","Computers / Programming Languages / HTML","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DKRKV8NG","webpage","","","GNU make","","","","","http://www.gnu.org/software/make/manual/make.html","","","2016-09-30 00:55:45","2016-10-03 02:48:29","2016-09-30 00:55:45","","","","","","","","","","","","","","","","","","","","","00040","","C:\Users\aba80\Zotero\storage\RDKGFM3X\make.html","","make","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CPMBYS4B","book","","Mecklenburg, Robert","Managing Projects with GNU Make","","978-0-596-00610-5","","","http://shop.oreilly.com/product/9780596006105.do","Managing Projects with GNU make, 3rd Edition provides guidelines on meeting the needs of large, modern projects. This edition focuses on the GNU version of make, which has deservedly become the industry standard. GNU's powerful extensions are...","","2016-09-30 00:43:00","2016-10-03 02:48:20","","","","","","","","","","","","","","","","","","","","shop.oreilly.com","","00056","","C:\Users\aba80\Zotero\storage\TM8PT633\book.html; C:\Users\aba80\Zotero\storage\PKWSB4ZQ\9780596006105.html","","make","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BERK4HSI","journalArticle","2015","Altbach, Philip G.","What counts for academic productivity in research universities?","International Higher Education","","","","http://ejournals.bc.edu/ojs/index.php/ihe/article/view/5837","","2015","2016-09-29 10:18:25","2016-10-03 02:48:14","2016-09-29 10:18:25","6–7","","79","","","","","","","","","","","","","","","","Google Scholar","","00016","","C:\Users\aba80\Zotero\storage\WS35YQ4F\Altbach - 2015 - What counts for academic productivity in research .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9343SD87","webpage","","","The Adventures of Sherlock Holmes","","","","","https://ebooks.adelaide.edu.au/d/doyle/arthur_conan/d75ad/","The Adventures of Sherlock Holmes / Arthur Conan Doyle","","2016-09-30 20:41:49","2016-10-03 02:48:12","","","","","","","","","","","","","","","","","","","","","","00526","","C:\Users\aba80\Zotero\storage\H5MGRRFF\d75ad.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8TLWF2QP","webpage","","","Why Use Make","","","","","https://bost.ocks.org/mike/make/","","","2016-09-30 00:54:23","2016-10-03 02:48:05","2016-09-30 00:54:23","","","","","","","","","","","","","","","","","","","","","00058","","C:\Users\aba80\Zotero\storage\7DE6I6IY\make.html","","make","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4C4UDHHI","blogPost","","","evernote Archives","Academia Obscura","","","","http://www.academiaobscura.com/tag/evernote/","","","2016-09-29 09:57:48","2016-10-03 02:47:53","","","","","","","","","","","","","","","","","","","","","","00000","","C:\Users\aba80\Zotero\storage\TF6SFRWP\evernote.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2QQCGKDT","webpage","","","Evernote shared notebook: Evernote for Academics","Evernote","","","","evernoteforacademics","","","2016-09-30 06:20:09","2016-10-03 02:47:46","","","","","","","","Evernote shared notebook","","","","","","","","","","","","","","00000","","C:\Users\aba80\Zotero\storage\7VLG3KK8\evernoteforacademics.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H6BHE5FU","journalArticle","2008","Kumle, Merethe","Declining breast cancer incidence and decreased HRT use","Lancet","","03065251, 13652125","","","","2008","2016-09-28 00:39:24","2016-09-29 04:55:20","2016-09-28 00:39:24","608-610","","","372","","","","","","","","","","en","","","","","CrossRef","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D4E3HFV8","webpage","","","use_cases [Zotero Documentation]","","","","","https://www.zotero.org/support/use_cases","","","2016-09-29 02:07:31","2016-09-29 02:07:41","2016-09-29 02:07:31","","","","","","","","","","","","","","","","","","","","","00000","","C:\Users\aba80\Zotero\storage\DZRCD8QZ\use_cases.html","","zotero","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
