"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9343SD87","webpage","","","The Adventures of Sherlock Holmes","","","","","https://ebooks.adelaide.edu.au/d/doyle/arthur_conan/d75ad/","The Adventures of Sherlock Holmes / Arthur Conan Doyle","","2016-09-30 20:41:49","2016-10-03 02:48:12","","","","","","","","","","","","","","","","","","","","","","00526","","C:\Users\aba80\Zotero\storage\H5MGRRFF\d75ad.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H4MKKVVP","journalArticle","2017","Welbers, Kasper; Atteveldt, Wouter Van; Benoit, Kenneth","Text Analysis in R","Communication Methods and Measures","","1931-2458","10.1080/19312458.2017.1387238","https://doi.org/10.1080/19312458.2017.1387238","Computational text analysis has become an exciting research field with many applications in communication research. It can be a difficult method to apply, however, because it requires knowledge of various techniques, and the software required to perform most of these techniques is not readily available in common statistical software packages. In this teacher’s corner, we address these barriers by providing an overview of general steps and operations in a computational text analysis project, and demonstrate how each step can be performed using the R statistical software. As a popular open-source platform, R has an extensive user community that develops and maintains a wide range of text analysis packages. We show that these packages make it easy to perform advanced text analytics.","2017-10-02","2019-06-02 07:01:45","2020-04-18 08:15:08","2019-06-02 07:01:45","245-265","","4","11","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","tex.ids: welbers_text_2017-1, welbers_text_2017-2","","C:\Users\aba80\Zotero\storage\3KARXCAW\Welbers et al. - 2017 - Text Analysis in R.pdf; C:\Users\aba80\Zotero\storage\BBC4NBJG\19312458.2017.html; /Users/arindambose/Zotero/zotero_stored_pdfs/Communication Methods and Measures/2017/Welbers et al_2017_Text Analysis in R.pdf; C:\Users\aba80\Zotero\storage\5IF4PQFH\Welbers et al. - 2017 - Text Analysis in R.pdf","","machine learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96LU4ERV","journalArticle","2019","Gentzkow, Matthew; Kelly, Bryan; Taddy, Matt","Text as Data","Journal of Economic Literature","","0022-0515","10.1257/jel.20181020","https://pubs.aeaweb.org/doi/10.1257/jel.20181020","","2019-09-01","2020-02-02 04:37:58","2020-02-02 04:37:59","2020-02-02 04:37:58","535-574","","3","57","","Journal of Economic Literature","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\aba80\Zotero\storage\ILMM98ZQ\Gentzkow et al. - 2019 - Text as Data.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68SBJAX2","webpage","2020","Makulec, Amanda","Ten Considerations Before you Create another Chart about COVID-19","Medium","","","","https://medium.com/nightingale/ten-considerations-before-you-create-another-chart-about-covid-19-27d3bd691be8","To sum it up — #vizresponsibly; which may mean not publishing your visualizations in the public domain at all.","2020-03-13","2020-03-13 23:13:39","2020-03-13 23:13:39","2020-03-13 23:13:39","","","","","","","","","","","","","","en","","","","","","","Library Catalog: medium.com","","C:\Users\aba80\Zotero\storage\5JP9N2ZR\ten-considerations-before-you-create-another-chart-about-covid-19-27d3bd691be8.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NBCJUKIM","report","2020","Black, Allison; MacCannell, Duncan R.; Sibley, Thomas R.; Bedford, Trevor","Ten Recommendations for Supporting Open Pathogen Genomic Analysis in Public Health Settings","","","","","https://www.preprints.org/manuscript/202001.0107/v1","Public health agencies are increasingly using pathogen whole genome sequencing (WGS) to support surveillance and epidemiologic investigations. As access to WGS has grown, greater amounts of molecular data have helped improve our ability to detect outbreaks, investigate transmission chains, and explore large-scale population dynamics, such as the spread of antibiotic resistance. However, the wide adoption of WGS also poses challenges due to the amount of data generated and the need to transform raw data prior to analysis. This complexity means that public health agencies may need more advanced computational infrastructure, a broader technical workforce, and new approaches to data management and stewardship. As both a guide for how this development could occur, and a place to initiate discussion, we describe ten proposals for developing and supporting an informatics infrastructure for public health.","2020-01-11","2020-03-28 22:51:51","2020-04-17 09:44:33","2020-03-28 22:51:51","","","","","","","","","","","","other","","en","","preprint","","","DOI.org (Crossref)","","DOI: 10.20944/preprints202001.0107.v1","","C:\Users\aba80\Zotero\storage\A428KA29\Black et al. - 2020 - Ten Recommendations for Supporting Open Pathogen G.pdf","","genomics; not covid specific; data analysis; recommendation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MCC3N9VG","webpage","","","Terrific panic, unthinking nonchalance","","","","","https://www.telegraphindia.com/opinion/coronavirus-terrific-panic-unthinking-nonchalance/cid/1759458","It bodes no good that the lockdown lacks alleviative measures","","2020-03-27 07:15:31","2020-03-27 07:15:31","2020-03-27 07:15:31","","","","","","","","","","","","","","en","","","","","","","Library Catalog: www.telegraphindia.com","","C:\Users\aba80\Zotero\storage\BAVVGJU8\1759458.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RDPQ48EQ","journalArticle","1996","Jacquez, G M; Waller, L A; Grimson, R; Wartenberg, D","The Analysis of Disease Clusters, Part I: State of the Art","INFECTION CONTROL AND HOSPITAL EPIDEMIOLOGY","","","","","","1996","2020-04-16 08:56:20","2020-04-16 08:56:20","","9","","5","17","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\aba80\Zotero\storage\FIZDSYNA\Jacquez et al. - 1996 - The Analysis of Disease Clusters, Part I State of.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3B36S3HV","journalArticle","1996","Jacquez, G. M.; Grimson, R.; Waller, L. A.; Wartenberg, D.","The Analysis of Disease Clusters, Part II: Introduction to Techniques","Infection Control and Hospital Epidemiology","","0899823X, 15596834","10.2307/30141142","https://www.jstor.org/stable/info/10.2307/30141142","","1996-06","2020-04-16 08:57:19","2020-04-16 08:57:20","2020-04-16 08:57:19","385-397","","6","17","","Infection Control and Hospital Epidemiology","The Analysis of Disease Clusters, Part II","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\aba80\Zotero\storage\BEG23REB\Jacquez et al. - 1996 - The Analysis of Disease Clusters, Part II Introdu.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L4F7268C","book","2013","Keeley, Larry; Pikkel, Ryan; Quinn, Brian; Walters, Helen","Ten types of innovation: the discipline of building breakthroughs","","978-1-118-50424-6","","","","""Based on over three decades of path-breaking work on innovation effectiveness, [this work] will help you and your teams know what to do when the stakes are high, time is short, and you really to build a breakthrough.""--P. [4] of cover","2013","2020-04-18 00:55:59","2020-04-18 00:55:59","","","257","","","","","Ten types of innovation","","","","","John Wiley & Sons Inc","Hoboken, NJ","en","","","","","Library of Congress ISBN","HD53 .K434 2013","OCLC: ocn828848466","","C:\Users\aba80\Zotero\storage\7XZKV927\Keeley et al. - 2013 - Ten types of innovation the discipline of buildin.pdf","","","Creative ability in business; Innovationsmanagement; Organizational effectiveness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASZ67537","journalArticle","2004","Bornehag, Carl-Gustaf; Sundell, Jan; Weschler, Charles J.; Sigsgaard, Torben; Lundgren, Björn; Hasselgren, Mikael; Hägerhed-Engman, Linda","The Association between Asthma and Allergic Symptoms in Children and Phthalates in House Dust: A Nested Case-Control Study","Environmental Health Perspectives","","","","http://www.jstor.org/stable/3838079","","2004","2020-04-18 00:30:40","2020-04-18 00:30:40","","1393-1397","","14","112","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\aba80\Zotero\storage\DP68ENQ5\Bornehag et al. - 2004 - The Association between Asthma and Allergic Sympto.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
