"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NUUDEMFZ","journalArticle","2007","Voukelatos, Alexander; Cumming, Robert G.; Lord, Stephen R.; Rissel, Chris","A randomized, controlled trial of tai chi for the prevention of falls: the Central Sydney tai chi trial","Journal of the American Geriatrics Society","","","","","","2007","2020-06-22 21:53:06","2020-06-22 23:16:46","","1185–1191","","8","55","","","A randomized, controlled trial of tai chi for the prevention of falls","","","","","","","","","","","","Google Scholar","","Publisher: Wiley Online Library","","/Users/arindambose/Zotero/storage/TRCANFKZ/j.1532-5415.2007.01244.html; /Users/arindambose/Zotero/storage/QASHQM87/voukelatos_et_al_2007_a_randomized,_controlled_trial_of_tai_chi_for_the_prevention_of_falls.pdf","","RCT; tai chi; falls; sydney; trial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7MFZTK8A","journalArticle","2014","Keall, Michael D.; Pierse, Nevil; Howden-Chapman, Philippa; Cunningham, Chris; Cunningham, Malcolm; Guria, Jagadish; Baker, Michael G.","Home modifications to reduce injuries from falls in the Home Injury Prevention Intervention (HIPI) study: a cluster-randomised controlled trial","","","","","","","2014","2020-06-22 21:58:45","2020-06-23 04:33:43","","","","","","","","Home modifications to reduce injuries from falls in the Home Injury Prevention Intervention (HIPI) study","","","","","","","","","","","","Google Scholar","","","","/Users/arindambose/Zotero/storage/TFFJR6GQ/keall_et_al_2014_home_modifications_to_reduce_injuries_from_falls_in_the_home_injury_prevention.pdf","","RCT; fall prevention; home modification; NZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WKHEK8PE","journalArticle","2013","Keall, Michael D.; Howden-Chapman, Philippa; Baker, Michael G.; Kamalesh, Venugopal; Cunningham, Malcolm; Cunningham, Chris; Guria, Jagadish; Draper, Robert; Skelton, Pounamu","Formulating a programme of repairs to structural home injury hazards in New Zealand","Accident Analysis and Prevention","","","","","","2013","2020-06-22 21:59:37","2020-06-23 04:12:48","","124–130","","","57","","","","","","","","","","","","","","","Google Scholar","","","","/Users/arindambose/Zotero/storage/3GZD9DZI/keall_et_al_2013_formulating_a_programme_of_repairs_to_structural_home_injury_hazards_in_new.pdf","","observational study; safety; secondary data analysis; administrative record analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5F43GR22","journalArticle","2016","Barker, Anna L.; Talevski, Jason; Bohensky, Megan A.; Brand, Caroline A.; Cameron, Peter A.; Morello, Renata T.","Feasibility of Pilates exercise to decrease falls risk: a pilot randomized controlled trial in community-dwelling older people","Clinical rehabilitation","","","","","","2016","2020-06-22 22:00:10","2020-06-23 04:11:40","","984–996","","10","30","","","Feasibility of Pilates exercise to decrease falls risk","","","","","","","","","","","","Google Scholar","","Publisher: SAGE Publications Sage UK: London, England","","/Users/arindambose/Zotero/storage/S6XQ3CHV/barker_et_al_2016_feasibility_of_pilates_exercise_to_decrease_falls_risk.pdf; /Users/arindambose/Zotero/storage/4I28ZPDT/0269215515606197.html","","RCT; acceptability; feasibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5E62I3LB","journalArticle","2003","Lyons, Ronan A.; Sander, Lesley Victoria; Weightman, Alison; Patterson, Joanne; Jones, Sarah J.; Lannon, Simon; Rolfe, Ben; Kemp, Alison; Johansen, Antony","Modification of the home environment for the reduction of injuries","Cochrane database of systematic reviews","","","","","","2003","2020-06-22 22:06:32","2020-06-23 04:50:28","","","","4","","","","","","","","","","","","","","","","Google Scholar","","Publisher: John Wiley & Sons, Ltd","","/Users/arindambose/Zotero/storage/YZQNJB3K/abstract.html","","meta-analysis; home modification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H37AL48P","journalArticle","2006","Lyons, R. A.; John, A.; Brophy, S.; Jones, S. J.; Johansen, A.; Kemp, A.; Lannon, S.; Patterson, J.; Rolfe, B.; Sander, L. V.","Modification of the home environment for the reduction of injuries","status and date: Edited (no change to conclusions), published in","","","","","","2006","2020-06-22 22:07:20","2020-06-23 04:48:37","","","","1","","","","","","","","","","","","","","","","Google Scholar","","","","/Users/arindambose/Zotero/storage/TBGRCBF7/lyons_et_al_2006_modification_of_the_home_environment_for_the_reduction_of_injuries.pdf","","meta-analysis; home modification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FNZR6CZK","journalArticle","2012","Singh, Devinder KA; Rajaratnam, Bala S.; Palaniswamy, Vijayakumar; Pearson, Hannah; Raman, Vimal P.; Bong, Pei Sien","Participating in a virtual reality balance exercise program can reduce risk and fear of falls","Maturitas","","","","","","2012","2020-06-22 22:08:08","2020-06-23 05:25:21","","239–243","","","73","","","","","","","","","","","","","","","Google Scholar","","","","/Users/arindambose/Zotero/storage/YRL3BTK2/singh_et_al_2012_participating_in_a_virtual_reality_balance_exercise_program_can_reduce_risk_and.pdf","","exercise; fall prevention; virtual reality; balance; fall","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DJNT8APR","journalArticle","2002","Marigold, Daniel S.; Patla, Aftab E.","Strategies for Dynamic Stability During Locomotion on a Slippery Surface: Effects of Prior Experience and Knowledge","Journal of Neurophysiology","","0022-3077, 1522-1598","10.1152/jn.00691.2001","https://www.physiology.org/doi/10.1152/jn.00691.2001","Falls due to slips are prevalent in everyday life. The purpose of this study was to determine the reactive recovery responses used to maintain dynamic stability during an unexpected slip, establish the time course of response adaptation to repeated slip perturbations, and distinguish the proactive strategies for negotiating a slippery surface. Twelve young adults participated in the study in which a slip was generated following foot contact on a set of steel free-wheeling rollers. Surface electromyographic (EMG) data were collected from rectus femoris, biceps femoris, tibialis anterior, and the medial head of gastrocnemius on the perturbed limb. Whole body kinematics were recorded using an optical imaging system: from this the center of mass, foot angle, and medial-lateral stability margins were determined. In addition, braking/loading and accelerating/unloading impulses while in contact with the rollers and the rate of loading the rollers were determined from ground reaction forces. Results demonstrate that the reactive recovery response to the first slip consisted of a rapid onset of a flexor synergy (146–199 ms), a large arm elevation strategy, and a modified swing limb trajectory. With repeated exposure to the slip perturbation, the CNS rapidly adapts within one slip trial through global changes. These changes include the attenuation of muscle response magnitude, reduced braking impulse, landing more flat-footed, and elevating the center of mass. Individuals implement a “surfing strategy” while on the rollers when knowledge of the surface condition was available before hand. Furthermore, knowledge of a slip results in a reduced braking impulse and rate of loading, a shift in medial-lateral center of mass closer to the support limb at foot contact on the rollers and a more flat foot landing. In conclusion, prior experience with the perturbations allows subsequent modification and knowledge of the surface condition results in proactive adjustments to safely traverse the slippery surface.","2002-07-01","2020-06-22 22:10:02","2020-06-22 22:10:02","2020-06-22 22:10:02","339-353","","1","88","","Journal of Neurophysiology","Strategies for Dynamic Stability During Locomotion on a Slippery Surface","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/arindambose/Zotero/storage/J4FN49ZH/marigold_patla_2002_strategies_for_dynamic_stability_during_locomotion_on_a_slippery_surface.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J7Z5JDQG","journalArticle","2015","Wong-Yu, Irene S.; Mak, Margaret K.","Task- and Context-Specific Balance Training Program Enhances Dynamic Balance and Functional Performance in Parkinsonian Nonfallers: A Randomized Controlled Trial With Six-Month Follow-Up","Archives of Physical Medicine and Rehabilitation","","0003-9993","10.1016/j.apmr.2015.08.409","http://www.sciencedirect.com/science/article/pii/S0003999315010758","Objectives To investigate the short- and long-term effects of a task- and context-specific balance training program on dynamic balance and functional performance, and to explore the effects on preventing total and injurious falls in parkinsonian nonfallers. Design A randomized controlled trial with group allocation single-blinded to the assessor. Setting Community centers, malls, and outdoor parks. Participants Nonfallers with Parkinson disease (PD) (N=70; mean age ± SD, 61.2±8.8y) randomly assigned to either a balance (BAL) group (n=32) or a control (CON) group (n=38). Interventions The BAL group received 4 weeks of indoor and 4 weeks of outdoor balance training (with a 2-h session per week). The CON group received 8 weeks of upper limb training at the same dosage. Both groups were instructed to perform 3 hours of home exercise weekly posttraining. Main Outcome Measures (1) Dynamic balance performance: Mini-Balance Evaluation Systems Test (Mini-BESTest); (2) Functional performance: functional reach (FR), 5 times sit-to-stand (FTSTS), 1-leg-stance (OLS), Timed Up and Go (TUG), and dual-task TUG tests; (3) Fall-related outcomes: ratios of total nonfallers to fallers and noninjurious fallers to injurious fallers, total and injurious fall rates, times to first falls and injurious falls. Results Sixty-eight participants completed training. A total of 7 patients (10%) withdrew before the 6-month follow-up, but not because of any adverse effects. At immediate and 6 months posttraining, the BAL group showed significantly greater improvements (from baseline) than the CON group in Mini-BESTest total scores, FR distances, and OLS times, together with greater time reductions in FTSTS, TUG, and dual-task TUG tests (all P<.05). The number of injurious fallers was significantly lower in the BAL group at 6-month follow-up. Conclusions This task- and context-specific balance training program improved the dynamic balance and fall-prone functional performance of PD nonfallers for up to 6 months after training. The BAL group showed a reduction in injurious fallers.","2015-12-01","2020-06-22 22:13:29","2020-06-22 22:13:29","2020-06-22 22:13:29","2103-2111","","12","96","","Archives of Physical Medicine and Rehabilitation","Task- and Context-Specific Balance Training Program Enhances Dynamic Balance and Functional Performance in Parkinsonian Nonfallers","","","","","","","en","","","","","ScienceDirect","","","","/Users/arindambose/Zotero/storage/R7IF7FWI/S0003999315010758.html; /Users/arindambose/Zotero/storage/UAW7VDXF/wong-yu_mak_2015_task-_and_context-specific_balance_training_program_enhances_dynamic_balance.pdf","","","Accidental falls; Exercise therapy; Parkinson disease; Postural balance; Randomized controlled trial; Rehabilitation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UWNV8GAK","journalArticle","2018","Williams, Andrew D.; Bird, Marie-Louise; Hardcastle, Sibella GK; Kirschbaum, Mark; Ogden, Kathryn J.; Walters, Julia AE","Exercise for reducing falls in people living with and beyond cancer","Cochrane Database of Systematic Reviews","","1465-1858","10.1002/14651858.CD011687.pub2","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011687.pub2/full","","2018","2020-06-22 22:14:59","2020-06-22 22:14:59","2020-06-22 22:14:59","","","10","","","","","","","","","","","en","","","","","www.cochranelibrary.com","","Publisher: John Wiley & Sons, Ltd","","/Users/arindambose/Zotero/storage/6W2GVW78/full.html; /Users/arindambose/Zotero/storage/7FV9HHL8/williams_et_al_2018_exercise_for_reducing_falls_in_people_living_with_and_beyond_cancer.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
